Name,Rank,Fire Department,Date of Death,Location on Memorial
James DiGenova,Captain,Syracuse Fire Department,09/24/1974,  8 Top
"James Doyle, Jr.",Firefighter,Port Washington Fire Department,11/10/1947,  3 Bottom
James Dworetsky,Chief,Youngsville Fire Department,11/25/1995,10 Top
James E. Bohan,Firefighter,New York City Fire Department,12/18/1998,10 Top
James E. Cutillo,Lieutenant,New York City Fire Department,08/02/1978,  9 Top
James E. Deegan,Firefighter,New York City Fire Department,04/24/1854,18 Bottom
James E. Linekin,Firefighter,New York City Fire Department,05/27/1966,11 Bottom
James E. McArdle,Firefighter,New York City Fire Department,06/14/1957,13 Top
"James E. Mero, Jr.",Firefighter,Willsboro Volunteer Fire Department,03/09/2005,   2 Bottom
James E. Nugent,Firefighter,New York City Fire Department,04/14/1901,13 Bottom
James E. Winne,Ladderman,Albany Fire Department,01/16/1875,16 Bottom
James F. Barrett,Firefighter,New York City Fire Department,05/13/1910,  5 Bottom
James F. Calnan,Firefighter,New York City Fire Department,12/29/1897,13 Bottom
James F. Coyle,Lieutenant,Albany Fire Department,04/20/1943,16 Top
James F. Devine,"Patrolman, Fire Patrol",NYBFU/stationed with FDNY,02/14/1958,17 Top
James F. Flood,Lieutenant,Albany Fire Department,01/01/1929,  4 Top
James F. Greene,Firefighter,New York City Fire Department,08/01/1932,20 Top
James F. Hipple,Firefighter,New York City Fire Department,01/31/1965,11 Bottom
James F. Hughes,Firefighter,New York City Fire Department,05/03/1938,18 Top
James F. Marino,Firefighter,New York City Fire Department,10/26/1962,12 Bottom
James F. McDonnell,Captain,New York City Fire Department,10/20/1985,12 Top
James F. Roche,Firefighter,New York City Fire Department,09/14/1884,15 Bottom
James F. Walker,Firefighter,Yonkers Fire Department,01/01/1971,  7 Top
James F. Young,Firefighter,New York City Fire Department,03/28/1994,10 Top
James Galvin,Relief Driver,Albany Fire Department,04/07/1875,16 Bottom
James G. Corbett,Firefighter,New York City Fire Department,01/18/1903,13 Bottom
James G. Kesling,Battalion Chief,New York City Fire Department,04/06/1957,13 Top
James Glasglow,Firefighter,New York City Fire Department,04/15/1840,19 Bottom
James Griffin,Lieutenant,New York City Fire Department,02/07/1923,  6 Top
James Hall,Ex-Captain,Glen Cove Fire Department,08/14/1975,  8 Top
James Harris,Lieutenant/Fire Police,Mechanicville Fire Department,12/04/1994,10 Top
James Hartnett,Lieutenant,New York City Fire Department,08/01/1932,20 Top
James H. Brady,Firefighter,Albany Fire Department,08/29/1971,  7 Top
James Hedges,Firefighter,New York City Fire Department,09/25/1832,20 Bottom
James Hennessey,Firefighter,Buffalo Fire Department,03/20/1940,17 Top
James H. Landrigan,Ex-Captain,East Meadow Fire Department,09/29/1977,  9 Top
James H. Malone,Firefighter,New York City Fire Department,07/18/1922,  6 Top
James H. Martin,Firefighter,Cazenovia Fire Department,11/09/1901,  5 Top
James H. McGee,Firefighter,Auburn Fire Department,05/13/1939,17 Top
James H. Murphy,Firefighter,New York City Fire Department,06/20/1929,  4 Top
James H. Savage,Captain,New York City Fire Department,07/05/1943,16 Top
James H. Shute,Lieutenant,New York City Fire Department,08/23/1891,14 Bottom
James H. Sidway,Assistant Foreman,Buffalo Fire Department,01/25/1865,19 Top
James Hunter,Firefighter,Newburgh Fire Department,01/24/1895,14 Bottom
James J. Corrigan,Fire Safety Director WTC,World Trade Center,09/11/2001,15 Bottom
"James J. Farrell, II",Firefighter,New York City Fire Department,02/19/1945,15 Top
James J. Hughes,Firefighter,New York City Fire Department,03/03/1920,  6 Top
James J. Hughes,Firefighter,New York City Fire Department,11/19/1944,16 Top
James Jimenez,Firefighter,Syosset Fire Department,08/07/1984,12 Top
"James J. Johnston, II",Firefighter,New York City Fire Department,12/22/1963,12 Bottom
James J. Lanza ,Firefighter ,New York City Fire Department ,04/06/2017,  8 Top
James J. Maine,Firefighter,New York City Fire Department,04/10/1969,  9 Bottom
James J. Marshall ,Firefighter ,New York City Fire Department ,11/30/2014,  1 Top
James J. McCormack,Firefighter,New York City Fire Department,07/04/1924,  6 Top
"James J. Moran, III",Firefighter,New York City Fire Department,10/13/1953,14 Top
"James J. Murphy, III",Firefighter,New York City Fire Department,07/04/1924,  6 Top
James J. O’Leary,Driver,Rochester Fire Department,11/09/1902,13 Bottom
James J. O’Neil,Firefighter,Hempstead Fire Department,06/14/2005,21 Top
James J. O’Shea,Firefighter,New York City Fire Department,09/27/2003,  2 Top
James J. Ruane,Firefighter,New York City Fire Department,11/17/1962,12 Bottom
James J. Ryan ,Firefighter ,New York City Fire Department ,12/25/2009,13 Bottom
"James J. Ryan, IV",Firefighter,New York City Fire Department,02/16/1945,15 Top
"James J. Skelly, Jr.",Firefighter,New York City Fire Department,04/16/1916,  3 Top
James J. Steakem,Firefighter,New York City Fire Department,05/15/1940,  7 Bottom
James J. Sullivan,Firefighter,New York City Fire Department,08/21/1923,  6 Top
James J. Walsh,Ladderman,Albany Fire Department,11/27/1908,  6 Bottom
James Lawrence,1st Assistant Chief,Katonah Fire Department,11/06/1959,  7 Bottom
James L. Dam,Deputy Coordinator,Vernon Fire Department,12/15/1976,  1 Top
James L. Fitzgerald,Captain,Troy Fire Department,02/04/1946,15 Top
James L. Haviland,Firefighter,New York City Fire Department,01/15/1905,16 Bottom
"James L. Sheridan, Sr.",Firefighter,Schenectady Fire Department,06/12/1961,12 Bottom
James M. Amato,Battalion Chief,New York City Fire Department,09/11/2001,12 Bottom
James Marren,Firefighter,Mount Vernon Fire Department,05/17/1974,  8 Top
James McGroarty,Firefighter,Syracuse Fire Department,01/19/1999,  4 Top
James McNulty,Firefighter,New York City Fire Department,04/24/1854,18 Bottom
James McSweeney,Lieutenant,Syracuse Fire Department,01/21/1968,  9 Bottom
James M. Gray,Firefighter,New York City Fire Department,09/11/2001,18 Bottom
James Mitchell,Firefighter,Syracuse Fire Department,04/03/1930,  4 Top
James M. Meyers,Battalion Chief,New York City Fire Department,11/15/1979,  8 Bottom
James Molloy,Lieutenant,New York City Fire Department,11/06/1959,13 Top
James M. Sullivan,Training Instructor,Binghamton Fire Department,11/10/1962,  7 Bottom
James Murphy,Firefighter,Syracuse Fire Department,12/04/1896,14 Bottom
James Murphy,Firefighter,Oswego Fire Department,04/20/1918,10 Bottom
James Nash,Firefighter,West Seneca Fire Department,04/04/1975,  8 Top
James N. Costello ,Battalion Chief ,New York City Fire Department ,11/25/2015,  3 Bottom
James N. Pappageorge,Firefighter,New York City Fire Department,09/11/2001,19 Bottom
James O’Brien,Firefighter,Buffalo Fire Department,09/18/1914,  4 Bottom
James O’Donnell,Lieutenant,New York City Fire Department,05/29/1932,20 Top
James O’Dwyer,Firefighter,New York City Fire Department,06/30/1926,  5 Top
James O’Kane,Firefighter,New York City Fire Department,11/30/1955,14 Top
James P. Cummings,Firefighter,Catskill Fire Department,01/06/1988,11 Top
James P. Kelly,Hoseman,Albany Fire Department,07/11/1909,  5 Bottom
James P. Lavin,Firefighter,New York City Fire Department,07/14/1971,  7 Top
James Plunket,Firefighter,New York City Fire Department,11/24/1873,16 Bottom
James P. McGahan,Lieutenant,Albany Fire Department,06/04/1922,  6 Top
James P. McManus,Firefighter,New York City Fire Department,08/02/1978,  9 Top
James P. Reilly,Firefighter,New York City Fire Department,11/14/1956,13 Top
James P. Smith,Firefighter,New York City Fire Department,02/04/1885,15 Bottom
James P. Wickham,Firefighter,Cutchogue Fire Department,04/05/1930,13 Top
James R. Cameron,Firefighter,Canton Fire Department,02/22/1948,19 Top
James R. Coyle,Firefighter,New York City Fire Department,09/11/2001,16 Bottom
James Rehill,Firefighter,New York City Fire Department,06/01/1887,15 Bottom
James R. Gillis,Firefighter,New York City Fire Department,06/20/1946,15 Top
James R. Hickey,Firefighter,New York City Fire Department,04/05/1945,16 Top
James Roche,Firefighter,New York City Fire Department,09/24/1951,14 Top
James R. Starkey,Captain,New York City Fire Department,07/16/1924,  6 Top
James Sellick,Firefighter,Peekskill Fire Department,08/01/1918,  2 Top
James S. Foote ,Firefighter ,Summit Fire Department ,11/18/2014,  3 Bottom
James S. Hosey,Firefighter,New York City Fire Department,01/29/1967,  9 Bottom
James Smith,Firefighter,New York City Fire Department,09/14/1907,  6 Bottom
James S. Wells,Firefighter,New York City Fire Department,04/15/1840,19 Bottom
James T. Brown,Lieutenant,New York City Fire Department,01/29/1922,  6 Top
James Tubridy,Division Chief,New York City Fire Department,07/30/1940,17 Top
James V. Galanaugh,Firefighter,New York City Fire Department,10/17/1966,11 Bottom
James V. O’Donnell,Firefighter,New York City Fire Department,05/28/1922,  6 Top
James W. Blackmore,Lieutenant,New York City Fire Department,06/05/1998,10 Top
James W. Connelly,Lieutenant,New York City Fire Department,05/17/1970,  8 Bottom
James Weaver,Firefighter,Gallupville Fire Department,04/02/1995,10 Top
James W. Gerdes,Firefighter,New York City Fire Department,06/01/1904,  3 Bottom
James Whalen,Captain,New York City Fire Department,10/06/1869,17 Bottom
James W. Kojac,Firefighter,New York City Fire Department,02/02/1956,13 Top
James W. McCarthy,Firefighter,Binghamton Fire Department,10/08/1940,10 Bottom
James W. McCusker,Firefighter,New York City Fire Department,11/04/1906,  2 Bottom
James W. Robertson,Firefighter,New York City Fire Department,07/08/1975,  8 Top
James W. Thompson,Firefighter,New York City Fire Department,04/27/1915,  3 Top
Jan Watala,Firefighter,Hempstead Fire Department,10/23/1979,  9 Top
Jason D. Hasenauer,Firefighter,Hilton Fire Department,12/28/2005,   2 Top
J. Chester Cromwell,Firefighter,White Plains Fire Department,02/03/1907,  6 Bottom
J. C. O’Shaunessy,Firefighter,New York City Fire Department,05/11/1887,15 Bottom
Jeffrey J. Giordano,Firefighter,New York City Fire Department,09/11/2001,21 Bottom
Jeffrey J. Olsen,Firefighter,New York City Fire Department,09/11/2001,20 Bottom
Jeffrey L. Wiener,Firefighter,Lynbrook Fire Department,05/07/2005,19 Bottom
Jeffrey M. Palazzo,Firefighter,New York City Fire Department,09/11/2001,18 Bottom
Jeffrey P. Walz,Lieutenant,New York City Fire Department,09/11/2001,17 Bottom
Jeffrey Stark,Firefighter,New York City Fire Department,09/11/2001,19 Bottom
Jeffrey W. Howell,Firefighter,Sharon Springs Fire Department,05/13/2004,  4 Bottom
Jeremiah Leoney,Firefighter,New York City Fire Department,11/27/1913,  4 Bottom
Jeremiah P. Coughlin,Firefighter,Rochester Fire Department,05/24/1936,18 Top
Jeremy S. Lasher ,Firefighter ,Verona Fire Department ,07/23/2009,20 Top
Jerome J. Balbierz,Firefighter,Lackawanna Fire Department,07/12/1969,  7 Top
Jerome P. Ryan,Firefighter,Binghamton Fire Department,09/03/1951,  7 Bottom
Jerome R. O’Connor,Lieutenant,New York City Fire Department,01/19/1971,  7 Top
Jerome Taylor,Captain,Hillburn Fire Department,03/12/1999,  2 Top
Jerry Cotignola,Firefighter,Freeport Fire Department,01/01/1978,  9 Top
Jerry G. Saxe,Firefighter,Kiskatom Volunteer Fire Department,11/04/1964,16 Top
J. Kenneth Flinton,Firefighter,Troy Fire Department,10/11/1928,  5 Top
J. Marion Harrison,Firefighter,Huntington Fire Department,01/01/1927,  5 Top
J. M. Forrester,Firefighter,New York City Fire Department,01/01/1849,19 Bottom
Joan Monahan,Firefighter,Nanuet Fire Company,01/01/1994,10 Top
Joan R. Daley ,Firefighter ,New York City Fire Department,09/27/2009,  1 Bottom
Joel F. Kinzly,Firefighter,North Tonawanda Fire Department,11/20/1945,15 Top
Joel Kohlhammer,Assistant Foreman,Syracuse Fire Department,08/28/1841,21 Bottom
Joe M. Vargason,Fire Police,Maine Fire Department,06/30/2001,17 Bottom
John A. Crisci,Lieutenant,New York City Fire Department,09/11/2001,12 Bottom
John A. Davison,Chief,East Norwich Fire Department,12/01/1955,18 Top
John A. Keyser,Firefighter,New York City Fire Department,04/24/1854,18 Bottom
John A. Licciardo,Firefighter,New York City Fire Department,07/07/1982,12 Top
John A. Luby,Foreman,Albany Fire Department,07/12/1885,15 Bottom
John A. Lyden,Lieutenant,New York City Fire Department,12/24/1949,15 Top
John A. Santore,Firefighter,New York City Fire Department,09/11/2001,17 Top
John A. Schardt,Firefighter,New York City Fire Department,09/11/2001,19 Top
John A. Slowey,Battalion Chief,New York City Fire Department,08/01/1934,19 Top
John A. Wheeler,Firefighter,Ossining Fire Department,12/10/1874,16 Bottom
John A. Williamson,Battalion Chief,New York City Fire Department,09/11/2001,20 Top
John B. Barget,Engineer,New York City Fire Department,10/05/1913,  4 Bottom
John B. Doran,Engineer,New York City Fire Department,06/25/1914,  4 Bottom
John Biernie,Lieutenant,Utica Fire Department,02/12/1902,13 Bottom
John Bradshaw,Firefighter,New York City Fire Department,05/26/1828,21 Bottom
John Buckloh,Firefighter,New York City Fire Department,02/06/1838,19 Bottom
John Bulger,Engineer,New York City Fire Department,11/28/1890,14 Bottom
John Burke,Engineer,Rochester Fire Department,10/12/1906,  1 Bottom
John Cannon,Firefighter,New York City Fire Department,05/15/1962,12 Bottom
John Carbush,Firefighter,New York City Fire Department,06/09/1905,  2 Bottom
John Carroll,Firefighter,New York City Fire Department,04/28/1935,19 Top
John Catalano,Ex-Chief,Selden Fire Department,05/01/1962,11 Top
John C. Cosner,Firefighter,New York City Fire Department,11/18/1960,13 Top
John C. Draxler,Firefighter,Webb Mills Fire Department,03/17/1979,  9 Top
John C. Farragher,Firefighter,New York City Fire Department,07/12/1962,12 Bottom
John C. Huggins,Firefighter,New York City Fire Department,07/26/1942,17 Top
John C. Huss,Firefighter,Ridge - Culver Fire Department,03/07/1984,12 Top
John Clarke,Firefighter,New York City Fire Department,01/01/1973,  7 Top
John Clarke,Firefighter,Buffalo Fire Department,08/16/1896,14 Bottom
"John C. Nelson, Jr.",Firefighter,Holland Fire Company,09/25/1992,10 Top
John Cook,Firefighter,Huntington Fire Department,01/01/1978,  9 Top
John Crotty,Deputy Commissioner,Buffalo Fire Department,02/08/1937,18 Top
John C. Rumsey,Firefighter,Ithaca Fire Department,12/07/1906,  3 Top
John C. Russell,Firefighter,Binghamton Fire Department,09/28/1975,  8 Top
John Dargan,Ex-Captain,Port Washington Fire Department,04/11/1953,19 Top
John D. Cunningham,Firefighter,Pawling Fire Department,12/06/1966,  7 Top
John Degnan,Firefighter,New York City Fire Department,04/07/1931,  4 Top
John D. Marshall,Firefighter,New York City Fire Department,09/11/2001,  3 Bottom
John D. McKean,Engineer,New York City Fire Department,09/22/1953,14 Top
John D. Mitchell,Firefighter,Buffalo Fire Department,07/18/1878,  3 Top
John Domblewski,Inspector,Schenectady Fire Department,01/11/1974,19 Bottom
John Dougherty,Firefighter,Oswego Fire Department,02/10/1904,10 Bottom
John D. Pike,Firefighter,Rochester Fire Department,05/05/1867,17 Bottom
"John Duffy, III",Firefighter,New York City Fire Department,09/07/1915,  3 Top
John Durkin,Lieutenant,New York City Fire Department,11/24/1937,18 Top
John Dwyer,Firefighter,New York City Fire Department,02/06/1928,  4 Top
John Eaton,Firefighter,Rochester Fire Department,08/26/1840,19 Bottom
John E. DeRosa,Firefighter,Sennett Fire Department,01/01/1983,12 Top
John E. Ginocchetti,Firefighter,Manlius Fire Department,03/07/2002,10 Bottom
John E. Heffernan,Firefighter,New York City Fire Department,09/11/2001,  5 Bottom
John E. Mahon,Hoseman,Rochester Fire Department,08/09/1930,  4 Top
John E. Miller,Firefighter,New York City Fire Department,11/24/1925,  5 Top
John E. Murphy,Lieutenant,New York City Fire Department,12/27/1939,18 Top
John Ennis,Firefighter,New York City Fire Department,08/30/1885,15 Bottom
John E. Rauch,Firefighter,New York City Fire Department,11/30/1928,  5 Top
John E. Woodard,Fire Protection Specialist,NYS/DOS/Office of Fire Prevention & Control,06/29/1995,10 Top
John F. Cassidy,Firefighter,New York City Fire Department,02/20/1880,16 Bottom
John F. Cox,Chief,Binghamton Fire Department,09/29/1975,  8 Top
John F. Dunne,Firefighter,New York City Fire Department,02/06/1923,  6 Top
John F. Fecher,Firefighter,New York City Fire Department,04/23/1910,  5 Bottom
John F. Ginley,Lieutenant,New York City Fire Department,09/11/2001,  7 Bottom
John F. Hickey,Firefighter,New York City Fire Department,09/30/1896,14 Bottom
John F. Kroening,Firefighter,Cambria Fire Department,11/18/1997,10 Top
John F. McNamara ,Firefighter ,New York City Fire Department ,08/09/2009,  2 Top
John F. Molloy,Lieutenant,New York City Fire Department,04/04/1956,13 Top
John F. O’Neill ,Firefighter ,New York City Fire Department ,02/14/2011,16 Bottom
John F. Searing,Firefighter,Auburn City Fire Department,03/30/1960,  7 Bottom
John F. Spaulding,Firefighter,New York City Fire Department,11/12/1892,14 Bottom
John F. Timmons,Lieutenant,New York City Fire Department,12/23/1911,  5 Bottom
John F. Walsh,Captain,New York City Fire Department,03/26/1906,  6 Bottom
John F. Whelan,Firefighter,New York City Fire Department,09/09/1969,  9 Bottom
John G. Barry,Firefighter,New York City Fire Department,10/17/1966,11 Bottom
John G. Bellew,Firefighter,New York City Fire Department,01/23/2005,  1 Top
John G. Chipura,Firefighter,New York City Fire Department,09/11/2001,18 Bottom
John Geary,Firefighter,New York City Fire Department,02/22/1901,13 Bottom
John G. Reinhardt,Firefighter,New York City Fire Department,05/06/1897,14 Bottom
John Harmon,Firefighter,Franklin Fire Department,01/01/1977,  8 Top
John H. Bush,Lieutenant,New York City Fire Department,02/11/1876,16 Bottom
John H. Cosgrove,Lieutenant,New York City Fire Department,08/01/1932,20 Top
John Henky,Firefighter,Buffalo Fire Department,01/28/1907,  6 Bottom
